Tipo,Antiscivolo,Impermeabile,Colore,Stagione
anfibi,y,n,colorato,autunno_inverno
anfibi,y,y,chiaro,inverno
anfibi,y,y,scuro,autunno_inverno
anfibi,n,y,colorato,autunno
anfibi,n,y,chiaro,inverno
anfibi,n,y,chiaro,inverno
stivali,y,n,colorato,inverno
anfibi,n,y,chiaro,inverno
anfibi,y,n,colorato,autunno_inverno
stivali,y,y,scuro,autunno
stivali,n,y,scuro,inverno
anfibi,n,y,scuro,autunno_inverno
stivali,n,y,chiaro,inverno
stivali,n,y,chiaro,autunno
stivali,n,y,chiaro,inverno
stivali,n,n,colorato,autunno_inverno
stivali,n,y,chiaro,inverno
stivali,y,n,scuro,inverno
stivali,n,n,colorato,autunno_inverno
stivali,n,n,chiaro,autunno
anfibi,y,y,colorato,autunno
stivali,n,n,chiaro,autunno
stivali,n,n,colorato,autunno_inverno
anfibi,y,y,scuro,autunno
stivali,n,y,chiaro,autunno
stivali,n,n,chiaro,inverno
stivali,n,y,colorato,autunno_inverno
stivali,y,y,colorato,autunno
anfibi,n,y,scuro,inverno
stivali,y,y,scuro,autunno
stivali,n,y,scuro,autunno_inverno
stivali,y,y,scuro,inverno
anfibi,y,y,scuro,autunno_inverno
anfibi,n,y,scuro,inverno
anfibi,n,y,chiaro,autunno_inverno
anfibi,y,n,scuro,autunno_inverno
stivali,n,y,scuro,autunno
anfibi,n,y,chiaro,autunno
anfibi,n,y,scuro,autunno
anfibi,n,n,scuro,autunno_inverno
stivali,n,y,chiaro,inverno
stivali,n,y,colorato,autunno
anfibi,n,n,chiaro,autunno_inverno
anfibi,y,y,scuro,inverno
anfibi,y,y,scuro,inverno
stivali,y,y,scuro,autunno
anfibi,n,y,chiaro,autunno_inverno
anfibi,n,y,colorato,autunno
anfibi,y,n,scuro,autunno
stivali,n,y,colorato,inverno
anfibi,y,y,colorato,inverno
stivali,n,y,chiaro,inverno
anfibi,y,n,colorato,autunno_inverno
anfibi,n,n,chiaro,inverno
anfibi,y,n,chiaro,inverno
anfibi,n,n,scuro,autunno_inverno
anfibi,n,y,colorato,autunno_inverno
anfibi,n,n,chiaro,inverno
anfibi,y,n,chiaro,autunno
stivali,y,n,chiaro,autunno_inverno
anfibi,n,y,colorato,inverno
anfibi,n,n,chiaro,autunno
stivali,y,n,chiaro,autunno_inverno
stivali,n,n,colorato,autunno
anfibi,n,y,chiaro,autunno_inverno
stivali,y,n,chiaro,autunno
anfibi,n,y,scuro,autunno
anfibi,y,n,scuro,autunno_inverno
stivali,n,y,chiaro,inverno
anfibi,y,n,colorato,inverno
anfibi,n,y,scuro,inverno
anfibi,y,y,chiaro,autunno_inverno
stivali,y,n,chiaro,autunno
anfibi,n,n,scuro,inverno
anfibi,n,y,scuro,autunno
stivali,y,y,colorato,inverno
stivali,y,y,scuro,autunno
stivali,y,y,chiaro,inverno
stivali,n,y,scuro,autunno
anfibi,n,n,scuro,autunno
stivali,n,y,chiaro,inverno
stivali,y,n,chiaro,inverno
anfibi,y,n,colorato,inverno
stivali,y,n,scuro,inverno
stivali,y,y,chiaro,autunno
stivali,n,y,scuro,autunno
anfibi,n,y,scuro,autunno_inverno
stivali,y,n,chiaro,autunno
anfibi,n,y,chiaro,inverno
stivali,n,n,chiaro,autunno_inverno
anfibi,y,y,chiaro,autunno
anfibi,n,n,scuro,autunno
stivali,y,y,chiaro,autunno_inverno
anfibi,n,y,chiaro,inverno
stivali,y,y,scuro,inverno
anfibi,y,y,scuro,autunno_inverno
stivali,y,y,colorato,inverno
anfibi,y,y,colorato,autunno_inverno
anfibi,y,n,scuro,autunno_inverno
anfibi,y,y,chiaro,autunno_inverno
anfibi,n,y,colorato,autunno_inverno
anfibi,y,y,chiaro,autunno
stivali,y,y,chiaro,autunno
anfibi,n,y,chiaro,autunno_inverno
stivali,n,y,chiaro,autunno_inverno
anfibi,y,n,scuro,autunno
stivali,n,y,chiaro,inverno
anfibi,y,n,scuro,autunno_inverno
anfibi,n,n,chiaro,autunno
anfibi,y,n,scuro,inverno
anfibi,n,n,chiaro,autunno_inverno
stivali,n,y,chiaro,inverno
anfibi,n,n,chiaro,autunno
anfibi,n,y,colorato,autunno
stivali,y,n,colorato,inverno
anfibi,n,n,scuro,inverno
stivali,n,y,colorato,inverno
stivali,n,y,scuro,autunno
anfibi,y,y,scuro,autunno
stivali,n,y,colorato,inverno
anfibi,y,n,colorato,autunno_inverno
stivali,n,n,colorato,autunno
anfibi,y,y,scuro,autunno
stivali,y,y,colorato,autunno_inverno
anfibi,y,y,scuro,inverno
stivali,y,n,colorato,inverno
stivali,y,y,chiaro,autunno_inverno
anfibi,y,y,scuro,autunno_inverno
stivali,y,y,scuro,inverno
stivali,y,y,chiaro,inverno
anfibi,y,y,chiaro,autunno_inverno
anfibi,y,n,chiaro,autunno_inverno
anfibi,n,y,scuro,inverno
stivali,n,y,colorato,autunno_inverno
anfibi,n,n,scuro,autunno
anfibi,y,y,chiaro,autunno
anfibi,n,y,colorato,autunno_inverno
stivali,y,n,chiaro,inverno
anfibi,y,y,scuro,autunno
anfibi,n,n,scuro,autunno_inverno
anfibi,y,n,scuro,inverno
stivali,n,n,colorato,autunno
stivali,n,y,colorato,autunno_inverno
stivali,y,y,colorato,autunno
anfibi,y,n,chiaro,autunno
stivali,y,y,scuro,autunno_inverno
stivali,y,y,colorato,autunno_inverno
stivali,y,y,colorato,inverno
stivali,n,n,chiaro,autunno_inverno
stivali,n,n,colorato,inverno
stivali,y,n,colorato,autunno_inverno
stivali,n,y,scuro,autunno
stivali,y,n,chiaro,autunno
anfibi,y,n,colorato,inverno
stivali,y,n,chiaro,inverno
stivali,n,n,colorato,autunno_inverno
stivali,y,n,scuro,autunno_inverno
stivali,n,y,chiaro,autunno
stivali,y,n,scuro,autunno
anfibi,n,y,colorato,autunno_inverno
stivali,y,y,colorato,autunno
stivali,y,n,colorato,autunno
anfibi,n,n,chiaro,inverno
stivali,y,n,colorato,autunno_inverno
stivali,n,y,colorato,autunno
stivali,y,y,scuro,autunno_inverno
anfibi,y,y,chiaro,autunno_inverno
anfibi,n,y,scuro,autunno
stivali,n,y,scuro,autunno_inverno
stivali,n,y,colorato,autunno
stivali,n,y,colorato,inverno
stivali,n,n,scuro,autunno_inverno
anfibi,y,y,scuro,autunno_inverno
stivali,y,y,chiaro,autunno_inverno
stivali,n,y,chiaro,autunno
anfibi,n,n,scuro,autunno_inverno
stivali,n,y,chiaro,autunno_inverno
anfibi,n,n,colorato,autunno
anfibi,n,y,colorato,inverno
stivali,n,n,chiaro,autunno
stivali,n,y,scuro,inverno
anfibi,n,y,chiaro,inverno
stivali,y,n,colorato,inverno
stivali,n,y,colorato,inverno
stivali,y,n,chiaro,autunno
anfibi,y,n,scuro,inverno
anfibi,n,n,chiaro,inverno
stivali,n,y,scuro,inverno
anfibi,n,n,chiaro,autunno
stivali,n,y,scuro,autunno_inverno
stivali,n,n,scuro,inverno
stivali,y,n,scuro,inverno
anfibi,y,y,scuro,autunno_inverno
anfibi,n,n,scuro,autunno_inverno
anfibi,n,n,chiaro,autunno_inverno
anfibi,y,n,colorato,autunno_inverno
stivali,n,y,colorato,inverno
anfibi,y,y,scuro,autunno
stivali,n,n,colorato,autunno
stivali,y,y,scuro,autunno
stivali,y,n,scuro,autunno
stivali,n,y,colorato,inverno
anfibi,y,n,chiaro,autunno
anfibi,y,y,colorato,autunno
anfibi,y,y,scuro,autunno_inverno
stivali,n,n,scuro,autunno_inverno
anfibi,n,n,scuro,autunno
anfibi,n,y,chiaro,autunno_inverno
stivali,n,n,scuro,autunno_inverno
anfibi,n,y,scuro,inverno
stivali,y,y,scuro,autunno
anfibi,y,n,scuro,inverno
anfibi,y,n,chiaro,autunno
anfibi,n,n,colorato,autunno
stivali,y,n,colorato,inverno
stivali,n,y,scuro,autunno_inverno
anfibi,y,n,colorato,autunno
anfibi,n,n,colorato,autunno
anfibi,y,y,scuro,autunno
anfibi,n,n,chiaro,inverno
stivali,y,n,scuro,inverno
anfibi,n,y,scuro,autunno
stivali,y,y,scuro,autunno_inverno
stivali,y,n,colorato,inverno
anfibi,n,y,chiaro,autunno
anfibi,n,n,scuro,autunno_inverno
anfibi,y,n,colorato,inverno
stivali,n,y,scuro,autunno
anfibi,n,y,chiaro,inverno
anfibi,n,n,colorato,autunno
anfibi,y,y,chiaro,autunno_inverno
stivali,n,n,colorato,autunno
anfibi,y,y,colorato,autunno_inverno
anfibi,n,y,scuro,autunno_inverno
anfibi,y,n,scuro,inverno
stivali,y,n,chiaro,autunno
anfibi,n,y,colorato,autunno
anfibi,n,y,colorato,autunno
anfibi,n,n,chiaro,inverno
anfibi,y,y,scuro,inverno
anfibi,n,y,chiaro,inverno
stivali,n,n,chiaro,autunno
anfibi,n,y,chiaro,autunno_inverno
anfibi,y,y,chiaro,autunno
anfibi,n,y,scuro,inverno
anfibi,y,y,chiaro,autunno
stivali,y,n,colorato,inverno
stivali,n,y,scuro,autunno
stivali,n,n,scuro,inverno
anfibi,y,n,scuro,autunno
stivali,y,y,chiaro,autunno
anfibi,n,y,chiaro,autunno_inverno
stivali,n,n,scuro,autunno
anfibi,n,n,colorato,autunno_inverno
anfibi,y,y,scuro,inverno
anfibi,y,n,colorato,autunno_inverno
stivali,n,n,scuro,autunno_inverno
stivali,y,n,colorato,inverno
stivali,y,n,colorato,autunno
anfibi,n,n,colorato,autunno_inverno
stivali,n,n,scuro,autunno_inverno
stivali,y,n,scuro,inverno
stivali,y,y,scuro,autunno
stivali,y,n,scuro,autunno_inverno
anfibi,n,n,chiaro,autunno
anfibi,y,y,colorato,inverno
stivali,y,n,scuro,autunno_inverno
anfibi,y,n,colorato,autunno_inverno
stivali,y,n,scuro,autunno
stivali,n,n,scuro,inverno
stivali,n,y,chiaro,autunno_inverno
stivali,n,n,colorato,autunno
stivali,n,n,scuro,autunno_inverno
anfibi,y,y,scuro,inverno
anfibi,y,n,colorato,inverno
stivali,n,n,chiaro,inverno
anfibi,n,n,chiaro,inverno
stivali,n,n,chiaro,inverno
stivali,n,y,colorato,autunno_inverno
anfibi,y,n,colorato,autunno_inverno
stivali,y,n,scuro,autunno_inverno
anfibi,y,n,colorato,autunno
anfibi,n,n,chiaro,autunno
anfibi,n,y,colorato,autunno_inverno
anfibi,n,n,chiaro,autunno
stivali,n,n,chiaro,inverno
stivali,y,y,chiaro,autunno_inverno
anfibi,y,y,colorato,inverno
stivali,y,y,chiaro,inverno
stivali,n,y,colorato,inverno
stivali,y,y,colorato,autunno_inverno
anfibi,n,y,chiaro,inverno
anfibi,n,y,chiaro,inverno
anfibi,n,y,chiaro,autunno_inverno
anfibi,y,y,scuro,inverno
anfibi,n,n,colorato,inverno
anfibi,y,y,scuro,autunno
anfibi,y,n,scuro,inverno
anfibi,n,y,scuro,autunno_inverno
anfibi,n,n,chiaro,inverno
anfibi,n,n,chiaro,inverno
stivali,n,y,scuro,autunno_inverno
anfibi,n,n,colorato,autunno_inverno
anfibi,y,y,chiaro,autunno
anfibi,y,y,scuro,autunno_inverno
stivali,y,n,chiaro,autunno_inverno
anfibi,n,n,chiaro,inverno
anfibi,y,y,colorato,autunno_inverno
anfibi,n,n,chiaro,autunno_inverno
anfibi,y,n,chiaro,autunno
anfibi,n,y,colorato,inverno
stivali,n,n,scuro,autunno
anfibi,n,y,chiaro,inverno
anfibi,y,y,scuro,autunno_inverno
anfibi,n,y,chiaro,autunno
anfibi,n,n,chiaro,inverno
anfibi,y,n,colorato,autunno
stivali,y,n,chiaro,autunno
stivali,y,n,colorato,autunno_inverno
anfibi,y,n,scuro,autunno_inverno
anfibi,y,y,scuro,autunno_inverno
stivali,y,n,chiaro,autunno_inverno
stivali,n,n,chiaro,autunno
stivali,n,y,chiaro,autunno
anfibi,y,n,chiaro,autunno_inverno
stivali,y,y,scuro,inverno
anfibi,n,n,chiaro,autunno
stivali,y,y,colorato,autunno_inverno
anfibi,n,y,colorato,autunno_inverno
stivali,y,n,scuro,autunno
stivali,y,y,scuro,inverno
anfibi,y,y,colorato,autunno_inverno
anfibi,n,n,colorato,inverno
stivali,n,n,colorato,autunno_inverno
anfibi,y,y,chiaro,inverno
anfibi,n,y,scuro,inverno
anfibi,n,y,scuro,autunno_inverno
stivali,n,n,chiaro,autunno
anfibi,y,n,scuro,autunno_inverno
anfibi,n,y,colorato,autunno
anfibi,n,n,colorato,inverno
stivali,y,n,colorato,autunno_inverno
stivali,n,y,colorato,inverno
stivali,n,n,scuro,autunno_inverno
stivali,y,n,scuro,inverno
stivali,y,n,scuro,autunno
anfibi,n,y,colorato,autunno
anfibi,n,n,scuro,autunno_inverno
stivali,n,y,chiaro,autunno_inverno
anfibi,y,n,scuro,autunno
stivali,n,y,scuro,autunno
stivali,n,n,chiaro,inverno
anfibi,n,n,chiaro,autunno_inverno
anfibi,n,n,chiaro,autunno
stivali,n,y,colorato,autunno_inverno
stivali,y,y,chiaro,autunno_inverno
anfibi,y,n,chiaro,autunno
anfibi,y,y,chiaro,autunno
anfibi,y,y,chiaro,inverno
stivali,n,n,scuro,autunno_inverno
stivali,n,n,colorato,autunno_inverno
anfibi,n,n,scuro,autunno
stivali,y,y,chiaro,inverno
stivali,n,n,colorato,inverno
stivali,y,y,scuro,autunno
anfibi,n,n,scuro,autunno
stivali,y,n,chiaro,inverno
anfibi,y,y,scuro,inverno
anfibi,y,n,scuro,inverno
anfibi,y,n,chiaro,inverno
stivali,y,y,chiaro,autunno_inverno
stivali,n,n,scuro,autunno
stivali,y,y,colorato,inverno
anfibi,y,y,scuro,autunno
anfibi,y,n,colorato,inverno
anfibi,n,n,colorato,autunno_inverno
stivali,n,n,scuro,inverno
anfibi,n,n,chiaro,autunno_inverno
stivali,y,n,scuro,autunno
stivali,n,y,scuro,autunno_inverno
anfibi,y,y,scuro,inverno
anfibi,y,y,chiaro,inverno
anfibi,n,y,scuro,inverno
anfibi,n,n,chiaro,autunno
stivali,y,n,chiaro,inverno
stivali,y,y,scuro,inverno
anfibi,n,n,scuro,autunno_inverno
anfibi,n,n,colorato,autunno
stivali,n,y,scuro,inverno
anfibi,n,y,chiaro,autunno
stivali,y,y,chiaro,inverno
stivali,y,n,scuro,autunno
anfibi,n,n,colorato,inverno
anfibi,n,y,colorato,autunno_inverno
anfibi,n,n,colorato,inverno
stivali,n,n,chiaro,inverno
stivali,n,y,colorato,autunno
stivali,n,n,scuro,autunno
anfibi,y,y,scuro,inverno
anfibi,n,n,scuro,inverno
stivali,y,y,scuro,autunno_inverno
stivali,y,n,chiaro,inverno
stivali,n,y,chiaro,autunno_inverno
anfibi,y,y,chiaro,autunno_inverno
stivali,n,y,chiaro,autunno_inverno
stivali,n,y,colorato,inverno
stivali,y,n,colorato,autunno_inverno
stivali,n,n,scuro,autunno
anfibi,n,y,colorato,autunno
stivali,y,n,colorato,inverno
anfibi,y,n,colorato,inverno
anfibi,y,n,chiaro,autunno_inverno
stivali,y,y,colorato,autunno_inverno
stivali,y,y,colorato,autunno_inverno
stivali,n,y,chiaro,inverno
anfibi,n,y,chiaro,autunno
stivali,n,y,scuro,inverno
anfibi,y,n,colorato,autunno
anfibi,n,y,colorato,inverno
anfibi,y,y,chiaro,inverno
stivali,n,n,chiaro,autunno_inverno
stivali,n,y,scuro,inverno
stivali,y,y,chiaro,autunno_inverno
stivali,n,y,scuro,inverno
stivali,n,n,scuro,autunno
anfibi,n,y,chiaro,autunno
stivali,n,y,colorato,autunno
stivali,y,n,colorato,autunno_inverno
anfibi,n,n,scuro,inverno
stivali,y,n,colorato,autunno_inverno
stivali,n,n,chiaro,inverno
stivali,n,y,chiaro,autunno_inverno
anfibi,y,n,scuro,autunno
stivali,y,n,colorato,autunno
anfibi,y,n,scuro,autunno_inverno
stivali,y,y,colorato,autunno
anfibi,n,n,scuro,inverno
stivali,n,y,scuro,autunno_inverno
stivali,y,n,scuro,autunno
stivali,n,n,colorato,autunno
stivali,y,n,chiaro,autunno
stivali,n,n,chiaro,autunno_inverno
anfibi,n,y,scuro,autunno
stivali,n,n,chiaro,inverno
stivali,n,n,colorato,autunno
anfibi,y,y,scuro,inverno
stivali,y,n,colorato,autunno_inverno
anfibi,n,n,colorato,autunno
stivali,y,y,chiaro,inverno
stivali,y,n,colorato,autunno_inverno
stivali,n,n,colorato,autunno_inverno
anfibi,n,n,colorato,autunno_inverno
stivali,n,n,colorato,autunno_inverno
anfibi,n,y,colorato,inverno
stivali,y,y,scuro,autunno_inverno
stivali,y,n,scuro,autunno_inverno
anfibi,y,n,colorato,inverno
anfibi,n,y,colorato,autunno_inverno
stivali,y,n,scuro,inverno
stivali,n,n,scuro,autunno_inverno
anfibi,n,n,scuro,inverno
anfibi,y,n,scuro,autunno_inverno
stivali,y,y,scuro,autunno
anfibi,n,n,chiaro,inverno
anfibi,y,y,chiaro,autunno_inverno
stivali,n,n,colorato,autunno_inverno
anfibi,n,y,colorato,inverno
stivali,y,n,colorato,autunno_inverno
anfibi,y,y,chiaro,inverno
stivali,n,n,colorato,inverno
anfibi,n,y,chiaro,autunno_inverno
anfibi,y,n,chiaro,autunno
stivali,n,n,chiaro,inverno
anfibi,y,n,scuro,inverno
anfibi,n,n,colorato,autunno
stivali,y,n,chiaro,autunno
anfibi,n,n,chiaro,autunno_inverno
stivali,y,n,colorato,inverno
stivali,y,y,scuro,autunno_inverno
anfibi,n,n,colorato,inverno
